Source;Target;Label;Weight
61;110;1;5
69;110;C;5
72;110;C;5
73;110;C;5
76;110;C;5
84;110;C;5
90;110;C;5
94;110;C;5
111;110;1;5
114;110;1;5
119;110;C;5
4;111;C;5
13;111;2;2
14;111;C;5
15;111;L;0.5
18;111;C;5
74;111;C;5
77;111;2;2
79;111;C;5
87;111;1;5
95;111;L;0.5
110;111;1;5
118;111;3;1
119;111;3;1
121;111;C;5
122;111;C;5
126;111;1;5
1;112;1;5
22;112;C;5
39;112;C;5
40;112;1;5
75;112;C;5
81;112;C;5
87;112;C;5
89;112;C;5
120;112;C;5
14;113;2;2
60;113;1;5
82;113;1;5
119;113;3;1
121;113;1;5
1;114;L;0.5
8;114;C1;10
25;114;3;1
31;114;C;5
35;114;C;5
66;114;C;5
100;114;2;2
104;114;2;2
105;114;3;1
110;114;1;5
120;114;1;5
35;115;1;5
46;115;1;5
71;115;1;5
76;115;2;2
94;115;1;5
13;116;1;5
43;116;1;5
127;116;C2;7
37;117;1;5
14;118;2;2
25;118;C;5
34;118;C;5
35;118;2;2
40;118;C;5
41;118;C;5
43;118;1;5
46;118;2;2
55;118;C;5
60;118;C;5
62;118;C;5
63;118;3;1
67;118;C;5
86;118;1;5
94;118;2;2
100;118;C;5
111;118;3;1
121;118;3;1
1;119;C;5
6;119;C;5
11;119;C;5
19;119;1;5
30;119;C;5
47;119;C;5
49;119;C1;10
51;119;C;5
52;119;C2;7
59;119;C;5
69;119;C1;10
72;119;C;5
73;119;C;5
76;119;C;5
83;119;2;2
84;119;C;5
90;119;C;5
94;119;C;5
110;119;C;5
111;119;3;1
113;119;3;1
121;119;1;5
1;120;1;5
13;120;2;2
21;120;1;5
22;120;C;5
27;120;3;1
39;120;C;5
75;120;C;5
81;120;C;5
87;120;C;5
89;120;C;5
112;120;C;5
114;120;1;5
4;121;C;5
14;121;C;5
18;121;C;5
19;121;2;2
63;121;1;5
74;121;C;5
79;121;C;5
95;121;3;1
111;121;C;5
113;121;1;5
118;121;3;1
119;121;1;5
122;121;C;5
125;121;1;5
4;122;C;5
14;122;C;5
18;122;C;5
24;122;1;5
32;122;12;7
46;122;1;5
74;122;C;5
79;122;C;5
111;122;C;5
121;122;C;5
127;122;1;5
52;123;1;5
56;123;1;5
61;123;2;2
75;123;2;2
99;123;1;5
17;124;C;5
25;124;2;2
40;124;1;5
64;124;C;5
78;124;C;5
84;124;1;5
88;124;C;5
94;124;1;5
95;124;C;5
7;125;C;5
12;125;C;5
16;125;C;5
20;125;C;5
25;125;1;5
36;125;C;5
37;125;C;5
48;125;1;5
53;125;C;5
57;125;C;5
83;125;1;5
93;125;C;5
121;125;1;5
9;126;C;5
65;126;C;5
68;126;C;5
71;126;2;2
84;126;1;5
90;126;12;7
111;126;1;5
128;126;1;5
1;127;L;0.5
17;127;L;0.5
18;127;1;5
43;127;3;1
47;127;3L;1.5
61;127;2;2
67;127;1;5
94;127;1;5
95;127;L;0.5
116;127;C2;7
122;127;1;5
7;128;2;2
15;128;C;5
48;128;2;2
53;128;1;5
55;128;1;5
56;128;C;5
78;128;1;5
126;128;1;5
